unique_key,created_date,closed_date,status,descriptor,borough,street_name,latitude,longitude,age_days,traffic_volume,aadt,nearby_crashes,pavement_crash_nearby,risk_score,urgency_tier,urgency_label,fix_days_estimate,prob_low,prob_medium,prob_high,prob_critical,scored_at,borough_encoded,month,day_of_week,has_nearby_accident,closed_date_dt,days_to_close
68770021,2026-04-24 02:06:29,,Open,Pothole,QUEENS,nan,40.75438938417203,-73.89652218284081,1.6282001714814813,4959.1547619047615,4660.0,17,0,46.5,1,Medium,14,0.535,0.232,0.139,0.093,2026-04-25 17:11:05,2,4,4,1,,
68762880,2026-04-23 23:58:15,,Open,Pothole,MANHATTAN,nan,40.733152610174024,-74.01028350206072,1.7172510974074073,16591.571428571428,6876.0,6,0,36.5,1,Medium,7,0.635,0.182,0.109,0.073,2026-04-25 17:11:05,0,4,3,1,,
68764267,2026-04-23 23:33:46,,Open,Pothole,QUEENS,nan,40.76513892061859,-73.79955933867802,1.7342534122222222,4959.1547619047615,4660.0,1,1,9.2,0,Low,14,0.908,0.046,0.028,0.018,2026-04-25 17:11:05,2,4,3,1,,
68771499,2026-04-23 23:13:11,,Open,Pothole,BROOKLYN,nan,40.715064311304246,-73.94216107488656,1.7485473937037037,5664.555555555556,6673.0,14,0,44.7,1,Medium,14,0.553,0.224,0.134,0.089,2026-04-25 17:11:05,1,4,3,1,,
68765209,2026-04-23 22:55:47,2026-04-23 22:55:47,Closed,Pothole,BROOKLYN,nan,40.61910563757932,-73.95830950968423,1.760630727037037,5664.555555555556,6673.0,10,1,26.0,1,Medium,14,0.359,0.641,0.0,0.0,2026-04-25 17:11:05,1,4,3,1,2026-04-23 22:55:47,0.0
68771500,2026-04-23 22:49:14,,Open,Pothole,BROOKLYN,nan,40.61910563757932,-73.95830950968423,1.765179338148148,5664.555555555556,6673.0,10,1,34.1,1,Medium,14,0.659,0.17,0.102,0.068,2026-04-25 17:11:05,1,4,3,1,,
68768621,2026-04-23 21:23:50,,Open,Pothole,QUEENS,nan,40.73294686877129,-73.86666122537298,1.8244848937037037,4959.1547619047615,4660.0,34,1,46.6,1,Medium,14,0.534,0.233,0.14,0.093,2026-04-25 17:11:05,2,4,3,1,,
68761425,2026-04-23 20:58:14,,Open,Pothole,STATEN ISLAND,nan,40.5675511458259,-74.1337392914252,1.8422626714814814,23788.714285714286,2762.0,1,0,31.8,1,Medium,14,0.682,0.159,0.095,0.064,2026-04-25 17:11:05,4,4,3,1,,
68761420,2026-04-23 20:12:42,,Open,Pothole,BROOKLYN,nan,40.68304991241459,-73.97376251912186,1.8738830418518517,5664.555555555556,6673.0,27,1,47.4,1,Medium,14,0.526,0.237,0.142,0.095,2026-04-25 17:11:05,1,4,3,1,,
68770022,2026-04-23 19:17:03,,Open,Pothole,QUEENS,nan,40.757824102636256,-73.86099851810266,1.912528875185185,4959.1547619047615,4660.0,15,1,46.6,1,Medium,14,0.534,0.233,0.14,0.093,2026-04-25 17:11:05,2,4,3,1,,
68765216,2026-04-23 19:09:28,2026-04-23 19:09:28,Closed,Pothole,STATEN ISLAND,nan,40.635738093577814,-74.08373324622873,1.917795078888889,23788.714285714286,2762.0,7,1,37.099998474121094,1,Medium,14,0.0,1.0,0.0,0.0,2026-04-25 17:11:05,4,4,3,1,2026-04-23 19:09:28,0.0
68770023,2026-04-23 19:08:34,,Open,Pothole,QUEENS,HORACE HARDING EXPRESSWAY,40.74102527782184,-73.79280064726649,1.9184200788888888,4959.1547619047615,4660.0,11,1,35.9,1,Medium,14,0.641,0.18,0.108,0.072,2026-04-25 17:11:05,2,4,3,1,,
